bytes;packets;connections;cpu_load
0;0;0;0
0;0;0;0
0;0;0;0
60;1;1;0
60;1;1;0
240;3;1;0
240;3;1;0
300;4;2;0
352;5;2;0
532;7;2;0
532;7;2;0
592;8;3;0
592;8;3;0
772;10;3;0
772;10;3;0
832;11;4;0
832;11;4;0
1012;13;4;0
1012;13;4;0
1072;14;5;0
1072;14;5;0
1252;16;5;0
1252;16;5;0
1312;17;6;0
1312;17;6;0
1544;20;6;0
1544;20;6;0
1604;21;7;0
1604;21;7;0
1784;23;7;0
1784;23;7;0
1844;24;8;0
1844;24;8;0
2440;34;8;0
2804;41;8;0
4032;63;9;0
4032;63;9;0
4448;71;9;0
5020;82;9;0
5080;83;10;0
5676;93;9;0
5936;98;9;0
6456;108;9;0
6696;111;10;0
6696;111;10;0
7008;117;10;0
7528;127;10;0
8080;136;11;0
8080;136;11;0
9536;164;11;0
10108;175;11;0
10556;182;12;0
11076;192;12;0
12584;221;11;13
12792;225;11;13
13084;229;12;13
13916;245;12;13
14176;250;12;13
14228;251;12;13
14288;252;13;13
14520;255;13;13
14676;258;13;13
17016;303;13;13
17308;307;14;13
17932;319;14;13
17932;319;14;13
18348;327;14;13
19784;353;15;13
20148;360;15;13
20356;364;15;13
21084;378;14;13
21688;388;15;13
21688;388;15;13
22572;405;14;13
22572;405;14;13
23592;423;15;13
23592;423;15;13
23592;423;15;13
23592;423;15;13
23832;426;16;13
25756;463;15;13
25756;463;15;13
28720;520;15;13
29584;535;16;13
29688;537;16;13
30104;545;16;13
30104;545;16;13
30164;546;17;13
30344;548;17;13
33204;603;17;13
33204;603;17;13
33264;604;18;13
34536;627;17;13
34692;630;17;13
36252;660;17;13
36700;667;18;13
36700;667;18;13
37948;691;18;13
41900;767;18;47
44740;820;19;47
49420;910;19;47
49420;910;19;47
52072;961;18;47
52572;969;19;47
53768;992;18;47
54860;1013;18;47
55584;1026;17;47
63076;1158;18;47
63128;1159;18;47
63440;1165;18;47
63804;1172;18;47
66696;1226;19;47
68932;1269;19;47
69764;1285;17;47
69920;1288;17;47
71200;1311;17;47
74796;1379;16;47
75576;1394;16;47
76356;1409;14;47
76520;1412;15;47
78988;1458;15;68
79248;1463;14;68
82160;1519;13;68
82740;1530;12;68
82948;1534;12;68
83492;1543;12;68
91720;1682;12;68
92196;1691;13;68
92960;1704;13;68
95644;1754;12;68
95800;1757;11;68
96976;1778;12;68
